arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
2.642,-0.144,0.762,0.548,115.3,0.02,0.23,0.767,0.488,122.654,0.021,-0.506,0.777,0.581,110.958,0.019,SAmerica,297.964
1.768,-0.063,0.671,-0.047,99.419,0.014,-0.672,0.666,0.434,73.097,0.01,0.05,0.654,0.385,76.187,0.011,SAmerica,297.512
2.275,0.018,0.833,0.483,748.73,0.014,-1.124,0.718,0.49,134.464,0.013,-1.053,0.828,0.653,613.621,0.011,SAmerica,296.51
2.238,-1.321,0.574,0.074,343.775,0.023,-1.061,0.707,0.474,259.122,0.018,-1.14,0.608,0.336,290.949,0.02,SAmerica,298.843
1.941,0.31,0.059,-52.154,577.487,0.021,-0.49,0.178,-11.212,276.8,0.01,0.37,0.031,-23.289,390.371,0.014,SAmerica,297.36
2.05,-2.898,0.561,-1.26,138.036,0.02,-2.142,0.715,0.488,65.678,0.01,-1.479,0.59,-0.395,108.437,0.016,SAmerica,296.159
1.711,-1.797,-0.105,-18.809,-111.482,0.027,-0.411,0.049,-4.103,-56.582,0.014,-1.526,-0.197,-9.836,-82.452,0.02,SAmerica,297.036
1.873,-165.254,0.573,-0.553,-33336.98,0.019,5.863,0.636,0.404,-20642.208,0.012,-105.073,0.628,0.179,-24231.502,0.014,SAmerica,296.383
1.938,0.423,0.753,0.328,-31.07,0.018,-0.159,0.524,0.274,-32.28,0.019,-0.023,0.73,0.532,-25.93,0.015,SAmerica,296.232
2.108,113.827,0.618,-1.861,-3031.422,0.022,34.803,0.658,0.431,-1351.736,0.01,64.011,0.69,0.047,-1749.475,0.013,SAmerica,297.084
2.111,3.71,0.707,-1.109,-3401.406,0.018,-0.843,0.758,0.555,-141.862,0.008,5.503,0.72,-0.086,-2441.196,0.013,SAmerica,296.218
2.052,-16.269,0.602,0.216,-1302.717,0.025,-14.895,0.664,0.439,-1101.714,0.021,-10.238,0.653,0.413,-1127.58,0.021,SAmerica,297.403
1.89,-1.459,0.724,0.378,1313.84,0.017,-0.491,0.684,0.463,1221.186,0.016,0.485,0.75,0.557,1109.599,0.014,SAmerica,297.741
2.114,-0.557,0.51,-1.409,261.886,0.02,-1.038,0.584,0.283,142.848,0.011,-0.081,0.64,0.091,160.852,0.012,SAmerica,296.454
2.121,-0.083,0.53,-0.129,67.176,0.025,-0.868,0.426,0.181,50.961,0.022,-0.603,0.535,0.247,54.865,0.021,SAmerica,296.308
2.394,-80.595,0.805,-1.669,4276.9,0.021,-1.081,0.756,0.571,103.928,0.008,-33.609,0.829,0.288,2208.567,0.011,SAmerica,297.263
